Model,Repeat,Day,FileName,EggCounts
1percent_flyModel2,1,D1,well_2_2024-02-20_150311_,25
1percent_flyModel2,1,D1,well_7_2024-02-20_150340_,23
1percent_flyModel2,1,D1,well_8_2024-02-20_150346_,21
1percent_flyModel2,1,D1,well_10_2024-02-20_150357_,37
1percent_flyModel2,1,D1,well_11_2024-02-20_150403_,39
1percent_flyModel2,1,D1,well_12_2024-02-20_150409_,45
1percent_flyModel2,1,D1,well_13_2024-02-20_150415_,30
1percent_flyModel2,1,D1,well_20_2024-02-20_150456_,41
1percent_flyModel2,1,D1,well_21_2024-02-20_150502_,18
1percent_flyModel2,1,D1,well_22_2024-02-20_150508_,39
1percent_flyModel2,1,D1,well_25_2024-02-20_150525_,41
1percent_flyModel2,1,D1,well_26_2024-02-20_150531_,60
1percent_flyModel2,1,D1,well_27_2024-02-20_150537_,32
1percent_flyModel2,1,D1,well_36_2024-02-20_150629_,49
1percent_flyModel2,1,D1,well_39_2024-02-20_150646_,72
1percent_flyModel2,1,D1,well_42_2024-02-20_150704_,24
1percent_flyModel2,1,D1,well_43_2024-02-20_150710_,21
1percent_flyModel2,1,D1,well_44_2024-02-20_150716_,19
1percent_flyModel2,1,D1,well_46_2024-02-20_150727_,22
1percent_flyModel2,1,D1,well_47_2024-02-20_150733_,35
1percent_flyModel2,1,D1,well_48_2024-02-20_150739_,29
1percent_flyModel2,1,D3,well_2_2024-02-20_151206_,17
1percent_flyModel2,1,D3,well_7_2024-02-20_151235_,20
1percent_flyModel2,1,D3,well_8_2024-02-20_151241_,16
1percent_flyModel2,1,D3,well_10_2024-02-20_151252_,27
1percent_flyModel2,1,D3,well_11_2024-02-20_151258_,28
1percent_flyModel2,1,D3,well_12_2024-02-20_151304_,28
1percent_flyModel2,1,D3,well_13_2024-02-20_151309_,31
1percent_flyModel2,1,D3,well_20_2024-02-20_151349_,22
1percent_flyModel2,1,D3,well_21_2024-02-20_151355_,10
1percent_flyModel2,1,D3,well_22_2024-02-20_151400_,18
1percent_flyModel2,1,D3,well_25_2024-02-20_151417_,10
1percent_flyModel2,1,D3,well_26_2024-02-20_151423_,30
1percent_flyModel2,1,D3,well_27_2024-02-20_151428_,35
1percent_flyModel2,1,D3,well_36_2024-02-20_151519_,25
1percent_flyModel2,1,D3,well_39_2024-02-20_151536_,14
1percent_flyModel2,1,D3,well_42_2024-02-20_151553_,19
1percent_flyModel2,1,D3,well_43_2024-02-20_151559_,33
1percent_flyModel2,1,D3,well_44_2024-02-20_151605_,19
1percent_flyModel2,1,D3,well_46_2024-02-20_151616_,13
1percent_flyModel2,1,D3,well_47_2024-02-20_151622_,23
1percent_flyModel2,1,D3,well_48_2024-02-20_151628_,9
1percent_flyModel2,1,D7,well_2_2024-02-20_153018_,11
1percent_flyModel2,1,D7,well_7_2024-02-20_153047_,4
1percent_flyModel2,1,D7,well_8_2024-02-20_153053_,6
1percent_flyModel2,1,D7,well_10_2024-02-20_153104_,11
1percent_flyModel2,1,D7,well_11_2024-02-20_153110_,25
1percent_flyModel2,1,D7,well_12_2024-02-20_153115_,8
1percent_flyModel2,1,D7,well_13_2024-02-20_153121_,1
1percent_flyModel2,1,D7,well_20_2024-02-20_153201_,22
1percent_flyModel2,1,D7,well_21_2024-02-20_153207_,37
