Condition,Repeat,Day,EggCounts,FileName
1percent_manual,1,D1,32,well_2_2024-02-20_150311_
1percent_manual,1,D1,24,well_7_2024-02-20_150340_
1percent_manual,1,D1,29,well_8_2024-02-20_150346_
1percent_manual,1,D1,43,well_10_2024-02-20_150357_
1percent_manual,1,D1,42,well_11_2024-02-20_150403_
1percent_manual,1,D1,47,well_12_2024-02-20_150409_
1percent_manual,1,D1,47,well_13_2024-02-20_150415_
1percent_manual,1,D1,49,well_20_2024-02-20_150456_
1percent_manual,1,D1,41,well_21_2024-02-20_150502_
1percent_manual,1,D1,50,well_22_2024-02-20_150508_
1percent_manual,1,D1,49,well_25_2024-02-20_150525_
1percent_manual,1,D1,68,well_26_2024-02-20_150531_
1percent_manual,1,D1,35,well_27_2024-02-20_150537_
1percent_manual,1,D1,49,well_36_2024-02-20_150629_
1percent_manual,1,D1,89,well_39_2024-02-20_150646_
1percent_manual,1,D1,45,well_42_2024-02-20_150704_
1percent_manual,1,D1,21,well_43_2024-02-20_150710_
1percent_manual,1,D1,21,well_44_2024-02-20_150716_
1percent_manual,1,D1,31,well_46_2024-02-20_150727_
1percent_manual,1,D1,37,well_47_2024-02-20_150733_
1percent_manual,1,D1,51,well_48_2024-02-20_150739_
1percent_manual,1,D3,31,well_2_2024-02-20_151206_
1percent_manual,1,D3,21,well_7_2024-02-20_151235_
1percent_manual,1,D3,16,well_8_2024-02-20_151241_
1percent_manual,1,D3,30,well_10_2024-02-20_151252_
1percent_manual,1,D3,34,well_11_2024-02-20_151258_
1percent_manual,1,D3,38,well_12_2024-02-20_151304_
1percent_manual,1,D3,22,well_13_2024-02-20_151309_
1percent_manual,1,D3,23,well_20_2024-02-20_151349_
1percent_manual,1,D3,14,well_21_2024-02-20_151355_
1percent_manual,1,D3,15,well_22_2024-02-20_151400_
1percent_manual,1,D3,9,well_25_2024-02-20_151417_
1percent_manual,1,D3,6,well_26_2024-02-20_153235_
1percent_manual,1,D3,38,well_27_2024-02-20_151428_
1percent_manual,1,D3,24,well_36_2024-02-20_151519_
1percent_manual,1,D3,12,well_39_2024-02-20_151536_
1percent_manual,1,D3,17,well_42_2024-02-20_151553_
1percent_manual,1,D3,33,well_43_2024-02-20_151559_
1percent_manual,1,D3,15,well_44_2024-02-20_151605_
1percent_manual,1,D3,6,well_46_2024-02-20_151616_
1percent_manual,1,D3,31,well_47_2024-02-20_151622_
1percent_manual,1,D3,6,well_48_2024-02-20_151628_
1percent_manual,1,D7,14,well_2_2024-02-20_153018_
1percent_manual,1,D7,5,well_7_2024-02-20_153047_
1percent_manual,1,D7,6,well_8_2024-02-20_153053_
1percent_manual,1,D7,18,well_10_2024-02-20_153104_
1percent_manual,1,D7,31,well_11_2024-02-20_153110_
1percent_manual,1,D7,11,well_12_2024-02-20_153115_
1percent_manual,1,D7,2,well_13_2024-02-20_153121_
1percent_manual,1,D7,39,well_20_2024-02-20_153201_
1percent_manual,1,D7,53,well_21_2024-02-20_153207_
1percent_manual,1,D7,37,well_22_2024-02-20_153212_
1percent_manual,1,D7,70,well_25_2024-02-20_153229_
1percent_manual,1,D7,6,well_26_2024-02-20_153235_
1percent_manual,1,D7,44,well_27_2024-02-20_153241_
1percent_manual,1,D7,17,well_36_2024-02-20_153333_
1percent_manual,1,D7,5,well_39_2024-02-20_153350_
1percent_manual,1,D7,10,well_42_2024-02-20_153407_
1percent_manual,1,D7,1,well_43_2024-02-20_153413_
1percent_manual,1,D7,68,well_44_2024-02-20_153419_
1percent_manual,1,D7,1,well_46_2024-02-20_153431_
1percent_manual,1,D7,11,well_47_2024-02-20_153436_
1percent_manual,1,D7,45,well_48_2024-02-20_153442_
1percent_manual,2,D1,80,well_1_2024-02-20_155657_
1percent_manual,2,D1,78,well_3_2024-02-20_154454_
1percent_manual,2,D1,85,well_4_2024-02-20_154500_
1percent_manual,2,D1,40,well_5_2024-02-20_154506_
1percent_manual,2,D1,78,well_6_2024-02-20_154511_
1percent_manual,2,D1,43,well_7_2024-02-20_154517_
1percent_manual,2,D1,19,well_8_2024-02-20_154522_
1percent_manual,2,D1,43,well_9_2024-02-20_154528_
1percent_manual,2,D1,45,well_10_2024-02-20_154534_
1percent_manual,2,D1,66,well_11_2024-02-20_154539_
1percent_manual,2,D1,64,well_12_2024-02-20_154545_
1percent_manual,2,D1,53,well_13_2024-02-20_154551_
1percent_manual,2,D1,48,well_14_2024-02-20_154556_
1percent_manual,2,D1,40,well_20_2024-02-20_154630_
1percent_manual,2,D1,65,well_23_2024-02-20_154647_
1percent_manual,2,D1,78,well_24_2024-02-20_154652_
1percent_manual,2,D1,48,well_26_2024-02-20_154704_
1percent_manual,2,D1,39,well_28_2024-02-20_154715_
1percent_manual,2,D1,129,well_30_2024-02-20_154726_
1percent_manual,2,D1,88,well_31_2024-02-20_154732_
1percent_manual,2,D1,57,well_32_2024-02-20_154737_
1percent_manual,2,D1,91,well_33_2024-02-20_154743_
1percent_manual,2,D1,94,well_34_2024-02-20_154749_
1percent_manual,2,D1,68,well_35_2024-02-20_154754_
1percent_manual,2,D1,78,well_37_2024-02-20_154806_
1percent_manual,2,D1,86,well_38_2024-02-20_154812_
1percent_manual,2,D1,67,well_39_2024-02-20_154818_
1percent_manual,2,D1,78,well_41_2024-02-20_154829_
1percent_manual,2,D1,75,well_42_2024-02-20_154835_
1percent_manual,2,D1,90,well_43_2024-02-20_154841_
1percent_manual,2,D1,70,well_46_2024-02-20_154858_
1percent_manual,2,D3,26,well_1_2024-02-20_173144_
1percent_manual,2,D3,11,well_3_2024-02-20_172700_
1percent_manual,2,D3,18,well_4_2024-02-20_172706_
1percent_manual,2,D3,7,well_5_2024-02-20_172711_
1percent_manual,2,D3,37,well_6_2024-02-20_172717_
1percent_manual,2,D3,6,well_7_2024-02-20_172723_
1percent_manual,2,D3,25,well_8_2024-02-20_172729_
1percent_manual,2,D3,47,well_9_2024-02-20_172734_
1percent_manual,2,D3,12,well_10_2024-02-20_172740_
1percent_manual,2,D3,13,well_11_2024-02-20_172745_
1percent_manual,2,D3,21,well_12_2024-02-20_172751_
1percent_manual,2,D3,8,well_13_2024-02-20_172757_
1percent_manual,2,D3,15,well_14_2024-02-20_172802_
1percent_manual,2,D3,16,well_20_2024-02-20_172837_
1percent_manual,2,D3,17,well_23_2024-02-20_172854_
1percent_manual,2,D3,8,well_24_2024-02-20_172900_
1percent_manual,2,D3,16,well_26_2024-02-20_172911_
1percent_manual,2,D3,14,well_28_2024-02-20_172923_
1percent_manual,2,D3,11,well_30_2024-02-20_172934_
1percent_manual,2,D3,35,well_31_2024-02-20_172940_
1percent_manual,2,D3,20,well_32_2024-02-20_172946_
1percent_manual,2,D3,15,well_33_2024-02-20_172952_
1percent_manual,2,D3,12,well_34_2024-02-20_172957_
1percent_manual,2,D3,13,well_35_2024-02-20_173003_
1percent_manual,2,D3,16,well_37_2024-02-20_173015_
1percent_manual,2,D3,7,well_38_2024-02-20_173021_
1percent_manual,2,D3,19,well_39_2024-02-20_173027_
1percent_manual,2,D3,19,well_41_2024-02-20_173038_
1percent_manual,2,D3,12,well_42_2024-02-20_173044_
1percent_manual,2,D3,16,well_43_2024-02-20_173050_
1percent_manual,2,D3,26,well_46_2024-02-20_173108_
1percent_manual,2,D7,0,well_3_2024-02-20_175413_
1percent_manual,2,D7,8,well_4_2024-02-20_180056_
1percent_manual,2,D7,7,well_5_2024-02-20_175424_
1percent_manual,2,D7,10,well_6_2024-02-20_175430_
1percent_manual,2,D7,10,well_7_2024-02-20_180114_
1percent_manual,2,D7,22,well_8_2024-02-20_175442_
1percent_manual,2,D7,26,well_9_2024-02-20_175448_
1percent_manual,2,D7,0,well_10_2024-02-20_180131_
1percent_manual,2,D7,38,well_11_2024-02-20_175459_
1percent_manual,2,D7,17,well_12_2024-02-20_180143_
1percent_manual,2,D7,0,well_13_2024-02-20_175511_
1percent_manual,2,D7,5,well_14_2024-02-20_175516_
1percent_manual,2,D7,25,well_20_2024-02-20_175551_
1percent_manual,2,D7,3,well_23_2024-02-20_175609_
1percent_manual,2,D7,7,well_24_2024-02-20_175614_
1percent_manual,2,D7,1,well_26_2024-02-20_175626_
1percent_manual,2,D7,16,well_28_2024-02-20_180315_
1percent_manual,2,D7,17,well_31_2024-02-20_175655_
1percent_manual,2,D7,6,well_32_2024-02-20_180338_
1percent_manual,2,D7,2,well_33_2024-02-20_175707_
1percent_manual,2,D7,16,well_35_2024-02-20_175718_
1percent_manual,2,D7,18,well_38_2024-02-20_175735_
1percent_manual,2,D7,7,well_39_2024-02-20_175741_
1percent_manual,2,D7,41,well_43_2024-02-20_180441_
1percent_manual,2,D7,24,well_46_2024-02-20_180458_
1percent_manual,5,D1,42,well_1_2024-02-21_002228_
1percent_manual,5,D1,45,well_3_2024-02-21_002239_
1percent_manual,5,D1,54,well_4_2024-02-21_001607_
1percent_manual,5,D1,72,well_5_2024-02-21_001613_
1percent_manual,5,D1,48,well_6_2024-02-21_001619_
1percent_manual,5,D1,47,well_7_2024-02-21_002303_
1percent_manual,5,D1,87,well_11_2024-02-21_002326_
1percent_manual,5,D1,46,well_12_2024-02-21_002331_
1percent_manual,5,D1,64,well_13_2024-02-21_002337_
1percent_manual,5,D1,79,well_15_2024-02-21_001711_
1percent_manual,5,D1,45,well_16_2024-02-21_001716_
1percent_manual,5,D1,54,well_17_2024-02-21_002400_
1percent_manual,5,D1,54,well_18_2024-02-21_002406_
1percent_manual,5,D1,56,well_19_2024-02-21_002412_
1percent_manual,5,D1,23,well_20_2024-02-21_001740_
1percent_manual,5,D1,63,well_21_2024-02-21_001745_
1percent_manual,5,D1,62,well_23_2024-02-21_001757_
1percent_manual,5,D1,38,well_24_2024-02-21_002441_
1percent_manual,5,D1,35,well_25_2024-02-21_001808_
1percent_manual,5,D1,44,well_26_2024-02-21_002453_
