Condition,Repeat,Day,EggCount,FileName,
CantonS,1,D1,0,well_1_2024-02-20_192937_.jpg,
CantonS,1,D1,2,well_2_2024-02-20_192306_.jpg,
CantonS,1,D1,0,well_3_2024-02-20_192311_.jpg,
CantonS,1,D1,1,well_4_2024-02-20_192317_.jpg,
CantonS,1,D1,1,well_5_2024-02-20_192323_.jpg,
CantonS,1,D1,0,well_6_2024-02-20_192329_.jpg,
CantonS,1,D1,12,well_7_2024-02-20_192334_.jpg,
CantonS,1,D1,7,well_8_2024-02-20_192340_.jpg,
CantonS,1,D1,11,well_9_2024-02-20_192346_.jpg,
CantonS,1,D1,4,well_10_2024-02-20_192351_.jpg,
CantonS,1,D1,10,well_11_2024-02-20_192357_.jpg,
CantonS,1,D1,13,well_12_2024-02-20_192403_.jpg,
CantonS,1,D1,34,well_13_2024-02-20_192409_.jpg,
CantonS,1,D1,20,well_14_2024-02-20_192414_.jpg,
CantonS,1,D1,4,well_15_2024-02-20_192420_.jpg,
CantonS,1,D1,10,well_16_2024-02-20_192426_.jpg,
CantonS,1,D1,14,well_17_2024-02-20_192431_.jpg,
CantonS,1,D1,6,well_18_2024-02-20_192437_.jpg,
CantonS,1,D1,6,well_19_2024-02-20_192443_.jpg,
CantonS,1,D1,34,well_20_2024-02-20_192448_.jpg,
CantonS,1,D1,5,well_21_2024-02-20_192454_.jpg,
CantonS,1,D1,10,well_22_2024-02-20_192500_.jpg,
CantonS,1,D1,15,well_23_2024-02-20_192506_.jpg,
CantonS,1,D1,25,well_24_2024-02-20_192512_.jpg,
CantonS,1,D1,13,well_25_2024-02-20_192518_.jpg,
CantonS,1,D1,4,well_26_2024-02-20_192523_.jpg,
CantonS,1,D1,25,well_27_2024-02-20_192529_.jpg,
CantonS,1,D1,9,well_28_2024-02-20_192535_.jpg,
CantonS,1,D1,11,well_29_2024-02-20_192541_.jpg,
CantonS,1,D1,3,well_30_2024-02-20_192547_.jpg,
CantonS,1,D1,11,well_31_2024-02-20_192552_.jpg,
CantonS,1,D1,19,well_32_2024-02-20_192558_.jpg,
CantonS,1,D1,2,well_33_2024-02-20_192604_.jpg,
CantonS,1,D1,48,well_34_2024-02-20_192610_.jpg,
CantonS,1,D1,20,well_35_2024-02-20_192616_.jpg,
CantonS,1,D1,9,well_36_2024-02-20_192622_.jpg,
CantonS,1,D1,20,well_37_2024-02-20_192628_.jpg,
CantonS,1,D1,20,well_38_2024-02-20_192633_.jpg,
CantonS,1,D1,36,well_39_2024-02-20_192639_.jpg,
CantonS,1,D1,3,well_40_2024-02-20_192645_.jpg,
CantonS,1,D1,44,well_41_2024-02-20_192651_.jpg,
CantonS,1,D1,1,well_42_2024-02-20_192657_.jpg,
CantonS,1,D1,28,well_43_2024-02-20_192702_.jpg,
CantonS,1,D1,15,well_44_2024-02-20_192708_.jpg,
CantonS,1,D1,33,well_45_2024-02-20_192714_.jpg,
CantonS,1,D1,1,well_46_2024-02-20_192720_.jpg,
CantonS,1,D1,18,well_47_2024-02-20_192726_.jpg,
CantonS,1,D1,36,well_48_2024-02-20_192731_.jpg,
CantonS,1,D3,1,well_2_2024-02-20_235149_.jpg,
CantonS,1,D3,2,well_3_2024-02-20_235155_.jpg,
CantonS,1,D3,6,well_4_2024-02-20_235200_.jpg,
CantonS,1,D3,7,well_5_2024-02-20_235206_.jpg,
CantonS,1,D3,24,well_6_2024-02-20_235212_.jpg,
CantonS,1,D3,30,well_7_2024-02-20_235218_.jpg,
CantonS,1,D3,10,well_8_2024-02-20_235224_.jpg,
CantonS,1,D3,2,well_9_2024-02-20_235229_.jpg,
CantonS,1,D3,25,well_10_2024-02-20_235235_.jpg,
CantonS,1,D3,9,well_11_2024-02-20_235241_.jpg,
CantonS,1,D3,31,well_12_2024-02-20_235247_.jpg,
CantonS,1,D3,37,well_13_2024-02-20_235252_.jpg,
CantonS,1,D3,30,well_14_2024-02-20_235258_.jpg,
CantonS,1,D3,10,well_15_2024-02-20_235304_.jpg,
CantonS,1,D3,16,well_16_2024-02-20_235310_.jpg,
CantonS,1,D3,12,well_17_2024-02-20_235316_.jpg,
CantonS,1,D3,20,well_18_2024-02-20_235321_.jpg,
CantonS,1,D3,3,well_19_2024-02-20_235327_.jpg,
CantonS,1,D3,38,well_20_2024-02-20_235333_.jpg,
CantonS,1,D3,14,well_21_2024-02-20_235338_.jpg,
CantonS,1,D3,12,well_22_2024-02-20_235344_.jpg,
CantonS,1,D3,19,well_23_2024-02-20_235350_.jpg,
CantonS,1,D3,12,well_24_2024-02-20_235356_.jpg,
