Condition,Day,Wells,Value,row 
Molasses,D1,1,52,1
Molasses,D1,2,133,1
Molasses,D1,3,33,1
Molasses,D1,4,104,1
Molasses,D1,5,56,1
Molasses,D1,6,62,1
Molasses,D1,7,64,1
Molasses,D1,8,83,1
Molasses,D1,9,69,2
Molasses,D1,10,104,2
Molasses,D1,11,118,2
Molasses,D1,12,88,2
Molasses,D2,1,13,1
Molasses,D2,2,21,1
Molasses,D2,3,33,1
Molasses,D2,4,9,1
Molasses,D2,5,40,1
Molasses,D2,6,25,1
Molasses,D2,7,23,1
Molasses,D2,8,22,1
Molasses,D2,9,37,2
Molasses,D2,10,43,2
Molasses,D2,11,32,2
Molasses,D2,12,20,2
Molasses,D2,13,25,2
Molasses,D3,1,14,1
Molasses,D3,2,33,1
Molasses,D3,3,35,1
Molasses,D3,4,8,1
Molasses,D3,5,22,1
Molasses,D3,6,16,1
Molasses,D3,7,3,1
Molasses,D3,8,20,1
Molasses,D3,9,29,2
Molasses,D3,10,27,2
Molasses,D3,11,28,2
Molasses,D3,12,15,2
Molasses,D3,13,13,2
BDSC,D1,1,95,3
BDSC,D1,2,124,3
BDSC,D1,3,117,3
BDSC,D1,4,82,3
BDSC,D1,5,86,3
BDSC,D1,6,67,3
BDSC,D1,7,64,3
BDSC,D1,8,63,3
BDSC,D1,9,110,4
BDSC,D1,10,34,4
BDSC,D1,11,141,4
BDSC,D1,12,58,4
BDSC,D1,13,32,4
BDSC,D2,1,35,3
BDSC,D2,2,29,3
BDSC,D2,3,32,3
BDSC,D2,4,20,3
BDSC,D2,5,25,3
BDSC,D2,6,26,3
BDSC,D2,7,33,3
BDSC,D2,8,39,3
BDSC,D2,9,37,4
BDSC,D2,10,54,4
BDSC,D2,11,50,4
BDSC,D2,12,50,4
BDSC,D2,13,12,4
BDSC,D3,1,24,3
BDSC,D3,2,25,3
BDSC,D3,3,25,3
BDSC,D3,4,15,3
BDSC,D3,5,36,3
BDSC,D3,6,18,3
BDSC,D3,7,18,3
BDSC,D3,8,34,3
BDSC,D3,9,28,4
BDSC,D3,10,42,4
BDSC,D3,11,33,4
BDSC,D3,12,40,4
BDSC,D3,13,12,4
Grape Juice,D1,1,113,5
Grape Juice,D1,2,135,5
Grape Juice,D1,3,121,5
Grape Juice,D1,4,69,5
Grape Juice,D1,5,92,5
Grape Juice,D1,6,89,5
Grape Juice,D1,7,82,5
Grape Juice,D1,8,110,5
Grape Juice,D1,9,56,6
Grape Juice,D1,10,68,6
Grape Juice,D1,11,60,6
Grape Juice,D1,12,99,6
Grape Juice,D1,13,45,6
Grape Juice,D2,1,21,5
Grape Juice,D2,2,40,5
Grape Juice,D2,3,28,5
Grape Juice,D2,4,21,5
Grape Juice,D2,5,23,5
Grape Juice,D2,6,12,5
Grape Juice,D2,7,20,5
Grape Juice,D2,8,27,5
Grape Juice,D2,9,7,6
Grape Juice,D2,10,19,6
Grape Juice,D2,11,15,6
Grape Juice,D2,12,20,6
Grape Juice,D2,13,23,6
Grape Juice,D3,1,9,5
Grape Juice,D3,2,3,5
Grape Juice,D3,3,8,5
Grape Juice,D3,4,7,5
Grape Juice,D3,5,12,5
Grape Juice,D3,6,4,5
Grape Juice,D3,7,8,5
Grape Juice,D3,8,11,5
Grape Juice,D3,9,10,6
Grape Juice,D3,10,3,6
Grape Juice,D3,11,3,6
Grape Juice,D3,12,10,6
Grape Juice,D3,13,7,6
