Condition,Repeat,Day ,EggCounts,FileName
WT,1,D1,60,well_1_2023-10-20_195116_.jpg
WT,1,D1,35,well_2_2023-10-20_194554_.jpg
WT,1,D1,47,well_3_2023-10-20_194600_.jpg
WT,1,D1,47,well_4_2023-10-20_194605_.jpg
WT,1,D1,34,well_5_2023-10-20_194611_.jpg
WT,1,D1,50,well_6_manual.jpg
WT,1,D1,11,well_7_2023-10-20_194622_.jpg
WT,1,D1,12,well_8_2023-10-20_194628_.jpg
WT,1,D1,62,well_9_2023-10-20_194634_.jpg
WT,1,D1,66,well_10_2023-10-20_194639_.jpg
WT,1,D1,61,well_11_2023-10-20_194645_.jpg
WT,1,D1,58,well_12_2023-10-20_194650_.jpg
WT,1,D1,49,well_13_2023-10-20_194656_.jpg
WT,1,D1,33,well_14_2023-10-20_194701_.jpg
WT,1,D1,36,well_15_2023-10-20_194707_.jpg
WT,1,D1,32,well_16_2023-10-20_195239_.jpg
WT,1,D1,99,well_17_2023-10-20_195245_.jpg
WT,1,D1,56,well_18_2023-10-20_194723_.jpg
WT,1,D1,45,well_19_2023-10-20_194729_.jpg
WT,1,D1,33,well_20_2023-10-20_194734_.jpg
WT,1,D1,6,well_21_2023-10-20_194740_.jpg
WT,1,D1,29,well_22_2023-10-20_194746_.jpg
WT,1,D1,44,well_23_2023-10-20_194751_.jpg
WT,1,D1,42,well_24_2023-10-20_194757_.jpg
WT,1,D3,23,well_2_2023-10-20_212010_.jpg
WT,1,D3,68,well_3_2023-10-20_212015_.jpg
WT,1,D3,63,well_4_2023-10-20_212021_.jpg
WT,1,D3,65,well_5_2023-10-20_212026_.jpg
WT,1,D3,10,well_6_2023-10-20_212032_.jpg
WT,1,D3,3,well_7_2023-10-20_212037_.jpg
WT,1,D3,24,well_8_2023-10-20_212043_.jpg
WT,1,D3,79,well_9_2023-10-20_212049_.jpg
WT,1,D3,53,well_10_2023-10-20_212054_.jpg
WT,1,D3,29,well_11_2023-10-20_212100_.jpg
WT,1,D3,92,well_12_2023-10-20_212105_.jpg
WT,1,D3,78,well_13_2023-10-20_212111_.jpg
WT,1,D3,23,well_14_2023-10-20_212116_.jpg
WT,1,D3,10,well_15_2023-10-20_212122_.jpg
WT,1,D3,60,well_16_2023-10-20_212127_.jpg
WT,1,D3,107,well_17_2023-10-20_212133_.jpg
WT,1,D3,47,well_18_2023-10-20_212139_.jpg
WT,1,D3,40,well_19_2023-10-20_212144_.jpg
WT,1,D3,30,well_20_2023-10-20_212150_.jpg
WT,1,D3,0,well_21_2023-10-20_212155_.jpg
WT,1,D3,47,well_22_2023-10-20_212201_.jpg
WT,1,D3,51,well_23_2023-10-20_212206_.jpg
WT,1,D3,55,well_24_2023-10-20_212212_.jpg
WT,2,D1,59,well_1_2023-11-09_141319_.jpg
WT,2,D1,54,well_2_2023-11-09_140857_.jpg
WT,2,D1,41,well_3_2023-11-09_140903_.jpg
WT,2,D1,43,well_4_2023-11-09_140908_.jpg
WT,2,D1,40,well_5_2023-11-09_140914_.jpg
WT,2,D1,49,well_6_2023-11-09_140919_.jpg
WT,2,D1,81,well_7_2023-11-09_140925_.jpg
WT,2,D1,40,well_8_2023-11-09_140931_.jpg
WT,2,D1,31,well_9_2023-11-09_140936_.jpg
WT,2,D1,25,well_10_2023-11-09_140942_.jpg
WT,2,D1,8,well_11_2023-11-09_140947_.jpg
WT,2,D1,5,well_12_2023-11-09_140953_.jpg
WT,2,D1,41,well_13_2023-11-09_140958_.jpg
WT,2,D1,8,well_14_2023-11-09_141004_.jpg
WT,2,D1,16,well_15_2023-11-09_141009_.jpg
WT,2,D1,40,well_16_2023-11-09_141015_.jpg
WT,2,D1,10,well_17_2023-11-09_141020_.jpg
WT,2,D1,18,well_18_2023-11-09_141026_.jpg
WT,2,D1,14,well_19_2023-11-09_141031_.jpg
WT,2,D1,26,well_20_2023-11-09_141037_.jpg
WT,2,D1,32,well_21_2023-11-09_141043_.jpg
WT,2,D1,25,well_22_2023-11-09_141048_.jpg
WT,2,D1,40,well_23_2023-11-09_141054_.jpg
WT,2,D1,33,well_24_2023-11-09_141059_.jpg
WT,2,D3,27,well_2_2023-11-09_154841_.jpg
WT,2,D3,38,well_3_2023-11-09_154846_.jpg
WT,2,D3,25,well_4_2023-11-09_154852_.jpg
WT,2,D3,61,well_5_2023-11-09_154858_.jpg
WT,2,D3,57,well_6_2023-11-09_154903_.jpg
WT,2,D3,47,well_7_2023-11-09_154909_.jpg
WT,2,D3,36,well_8_2023-11-09_154914_.jpg
